id,texto,categoria
48,el ambiente de trabajo no es muy bueno,trabajo
49,no me gusta mi ambiente de trabajo,trabajo
50,Le tengo que dedicar tiempo a,personal
51,le tengo que dedicar esfuerzo a,personal
52,le tengo que dedicar mucho tiempo a estudiar,trabajo
53,le tengo que dedicar mucho esfuerzo a mis amigos,personal
54,Tenemos problemas con el presupuesto,trabajo
55, Tengo que saber qué quiero,personal
56, No se qué quiero en mi vida profesional,trabajo
57, No se qué quiero en mi vida laboral,trabajo
58,pienso que nadie me va a contratar a mí porque yo tengo todo este tiempo aquí en la misma posición,trabajo
59,La gente se casa o no dependiendo si tiene un trabajo estable.,amorosa
60,Las decisiones personales importantes dependen de la calidad de vida laboral,personal
61,La gente se casa o no dependiendo de su estabilidad laboral.,familiar
62,Nos rechazamos desde antes de empezar.,personal
63,El miedo al rechazo hace que el talento no se muestre.,personal
64,Tengo miedo rechazo,personal
65,me da miedo el rechazo,personal
66,"Cuando tú amas lo que haces, se vuelve un estilo de vida.",trabajo
67,Ser profesional es parte de mi marca personal,trabajo
68,Hablar de dinero toca lo emocional,personal
69,Mi familia se ve perjudicada por cómo me siento emocionalmente.,familiar
70,La calidad de vida permite cuidar de la familia,familiar
71,El trabajo impacta directamente a la familia.,familiar
72,Hay decisiones familiares ligadas al empleo,familiar
73,La empresa quiere un talento sostenible.,trabajo
74,Estoy sacrificando mucho,personal
75,Me estoy comparando mucho con mi compañero,trabajo
76,Para elegir un trabajo requieriero planificación,trabajo
77,Mi ambiente laboral es toxico,trabajo
78,Me da miedo intentar algo nuevo,personal
79,No tengo autocontrol,personal
80,No creo que tome las mejores decisiones ,personal
81,Hablar de dinero toca emociones profundas,personal
82,El estrés laboral se traslada al hogar.,familiar
83,Cuidar a un familiar requiere tiempo,familiar
84,Cuidar de mi familia requiere mucho tiempo,familiar
85,No les presto mucha atencion a mis hijos,familiar
86,siento que no me conozco a mis hijos,familiar
87,Me divorcie,amorosa
88,Rompi con mi novio,amorosa
89,Rompi con mi novia,amorosa
90,La vida laboral tiene un impacto muy grande en mi vida personal.,trabajo
91,El dinero lo es todo.,personal
92,No me reconocen en la empresa,trabajo
93,quiero una vida laboral sostenible,trabajo
94,trato y no logro nada,personal
95,Me siento resentido con mis compañeros de escuela,trabajo
96,No puedo conversar sobre el dinero,trabajo
97,Eso tiene un impacto importante en el presupuesto familiar,familiar
98,Pedir un aumento se percibe como una traición al equipo,trabajo
99,Me da miedo que me rechazen en la entrevista.,trabajo
100,Mi familia se ve perjudicada emocionalmente,familiar
101,Ya se me paso el tiempo de trabajar,trabajo
102,Ya no puedo encontrar trabajo,trabajo
103,No sienta que sirva para este trabajo,trabajo
104,No creo que pueda cumplir con esas cualidades,trabajo
105,No se cuales habilidades blandas tengo,personal
106,Me quede sin empleo,trabajo
107,Me quede sin trabajo,trabajo
108,me despidieron,trabajo
109,Nunca me enseñaron ,trabajo
110,Cuando me quedo sin empleo y no se qué hacer,trabajo
111,Perder un empleo no es fácil,trabajo
112,siento que es el final de mi carrera profesional,trabajo
113,Mi mundo laboral se detuvo,trabajo
114,No creo tener objetivos en el ambito profesional,trabajo
115,No creo tener objetivos profesionales,trabajo
116,No se que quiero lograr en el trabajo,trabajo
117,Mi idea de proyecto no avanza,trabajo
118,Tenemos que sentarnos a ver cuáles son esas cosas que hemos logrado antes,personal
119,Nose que cosas quiero lograr,personal
120,no encuentro trabajo,trabajo
121,el tiempo que no tengo trabajo lo siento como una derrota,trabajo
122,logre llegar a una entrevista,trabajo
123,estoy invirtiendo tiempo en mi educacion,trabajo
124,Perder un empleo es un remolino de emociones,personal
125,No se que hacer,personal
126,no tengo una mentalidad tan abierta,personal
127,No equilibrio mis emociones,personal
128,No controlo bien mis emociones,personal
129,Buscar trabajo es un trabajo,trabajo
130,La incertidumbre bloquea si no hay un plan,personal
131,"Cuando no me siento motivado en el trabajo, mis oportunidades de crecimiento se reducen",trabajo
132,La desmotivación afecta mis oportunidades dentro y fuera de la empresa,trabajo
133,Muchas veces busco excusas externas cuando estoy desmotivado,trabajo
134,No comunicar lo que hago bien es un error grave de mi parte,trabajo
135,Nose reconocerme,trabajo
136,No me reconzco ,trabajo
137,No siento que me reconozcan en el trabajo,trabajo
138,No progreso en el trabajo,trabajo
139,No siento que progrese en el trabajo,trabajo
140,No estoy comunicando las cosas que estoy haciendo,trabajo
141,No me puedo relacionar con nadie,personal
142,Comunicar lo que aprendo influye en mi crecimiento profesional,trabajo
143,No creo que sea prudente,personal
144,No soy prudente,personal
145,Mi nivel de motivación influye directamente en mis resultados profesionales,trabajo
146,"Cuando me siento desmotivado, necesito hacer una revisión interna",personal
147,Reconocer mis propios logros me genera una recompensa emocional,personal
148,siento que no tengo un progreso diario,personal
149,Me siento muy desmotivado,personal
150,No me siento motivado,personal
151,no estoy motivado,personal
152,Me da miedo preguntar del salario en una entrevista,trabajo
153,Me enfrento a procesos laborales que no siempre son justos,trabajo
154,El sueldo que tengo me parece bajo,trabajo
155,me da ansiedad pedir trabajo,trabajo
156,no siento que respeten mis tiempos,trabajo
157,no puedo respetar mis tiempos,personal
158,no siento que pueda negociar en el proceso laboral,trabajo
159,Siento que muchos procesos no son empáticos con mi tiempo,trabajo
160,"Cuando no tengo empleo, el proceso se vuelve más desgastante",trabajo
161,"Cuando no tengo empleo, el proceso es muy desgastante",trabajo
162,No debo de insistir mucho por le feedback,trabajo
163,No se si me estan haciendo ghosting en el proceso,trabajo
164,¿Nos hacen ghosting en el proceso?,trabajo
165,me da vergüenza pedir informes sobre como va la entrevista,trabajo
166,me da vergüenza pedir informes sobre como va el proceso de reclutamiento,trabajo
167,No respetar mi tiempo en entrevistas me parece una falta grave,trabajo
168,Me desmotivo que no me contrataran,trabajo
169,No dije lo que querian escuchar en la entrevista,trabajo
170,cometi un gran error en la entrevista,trabajo
171,cometi un gran error durante la entrevista,trabajo
172,Respo nderi algo de forma incorrecta durante la entrevista?,trabajo
173,No respetan mis tiempos en el trabajo,trabajo
174,Invertir tiempo y no obtener respuesta desgasta,personal
175,La incertidumbre afecta mi ánimo.,personal
176,La falsa esperanza me genera molestia,personal
177,La falta de respeto a mi tiempo me incomoda,personal
178,Necesito sentir claridad para no desgastarme emocionalmente.,personal
179,No siento claridad en mi trabajo,trabajo
180,conectar con otras personas es importante para mi,personal
181,Mi bienestar emocional se ve afectado por procesos laborales largos,trabajo
182,Respetar mi tiempo es respetarme como profesional,trabajo
183,Necesito claridad para tomar mejores decisiones laborales.,trabajo
184,he cometido errores en decisiones laborales.,trabajo
185,es complicado dividir lo laboral de lo familiar,trabajo
186,es complicado dividir lo familiar de lo laboral,familiar
187,Desde muy joven sentí que mi vida estaba ligada a la empresa,trabajo
188,Pasé gran parte de mi infancia en la oficina,personal
189,"Mientras otros salían de vacaciones, yo trabajaba en la empresa",personal
190,He trabajado en áreas que no me gustaban,trabajo
191,trabajo en un area que no me gusta,trabajo
192,No tengo claridad de hacia donde llevar la empresa,trabajo
193,He sentido dudas sobre cómo aportar más valor profesional,trabajo
194,He pasado por momentos de duda profesional,trabajo
195,Sentí inseguridad al no dominar algunas áreas del negocio,trabajo
196,Sentí inseguridad al no dominar algunas áreas del negocio,personal
197,Trabajo con miembros de mi familia,familiar
198,Mi familia ha construido este negocio por generaciones,familiar
199,Mis padres me delegaron responsabilidades importantes,familiar
200,Mis padres me dieron muchas responsabilidades,familiar
201,Enn reuniones familiares se terminan tomando decisiones de negocio,familiar
202,En mi familia se valora mucho la disciplina y el respeto,familiar
203,Trabajar con mi familia ha sido un gran reto,trabajo
204,Separar lo laboral de lo familiar es muy difícil,trabajo
205,Separar lo familiar de lo laboral es muy difícil,familiar
206,He tenido choques profesionales con miembros de mi familia,familiar
207,Muchas conversaciones familiares giran alrededor del trabajo,familiar
208,No tengo limites claros con mi familia,familiar
209,No tengo limites claros con amigos,personal
210,Me cuesta poner limites con amigos,personal
211,Las decisiones del trabajo afectan a mi dinamica con mi familia,familiar
212,Las decisiones del negocio afectan la dinámica familiar.,familiar
213,Tomo decisiones que impactan diferentes áreas del grupo empresarial,trabajo
214,Tomo muchas decisiones importantes,personal
215,no puedo tomar decisiones si no estoy completamente seguro,trabajo
216,No trabajo bien cuando estoy bajo presion,trabajo
217,No se como delegar funciones,trabajo
218,Me da miedo delegar funciones,trabajo
219,me da miedo delegar trabajo,trabajo
220,me da miedo que cuando delegue trabajo se enojen conmigo,trabajo
221,Me cuesta adaptarme a nuevas formas de trabajar,trabajo
222,Me cuesta adaptarme a varias situaciones nuevas,personal
223,Me agobia todas las responsabilidades que tengo,personal
224,Me agobia todas las responsabilidades que tengo en el trabajo,trabajo
225,No puedo comunicar desiciones dificiles,personal
226,He tenido momentos de inseguridad personal,personal
227,No creo estar preparado para el rol que tengo,personal
228,Me he cuestionado si estaba preparado para el rol que tengo,personal
229,He sentido miedo de no dar la talla,personal
230,No creo estar a la talla,personal
231,Me he comparado con otras personas,personal
232,Me comparo con otras personas,personal
233,Me he comparado con personas de otros países y trayectorias,personal
234,He pasado por crisis personales sobre mi rumbo profesional,personal
235,Me exigí más al sentir que tenía una responsabilidad mayor,personal
236,No manejo bien la presion interna,personal
237,No se manejar la presion interna,personal
238,Crecí viendo a mis padres trabajar día y noche,familiar
239,Mis padres influyeron mucho en mis decisiones profesionales,familiar
240,En mi familia es muy importante la disciplina,familiar
241,Muchas veces no estoy de acuerdo con las decisiones familiares,familiar
242,Las discusiones familiares muchas veces terminan siendo laborales,familiar
243,En mi familia es muy importante el compromiso,familiar
244,en mi familia es muy importante la responsabilidad,familiar
245,En mi familia se espera compromiso y responsabilidad.,familiar
246,He sentido el peso de continuar un legado familiar,familiar
247,En mi familia no se tolera la irresponsabilidad laboral,familiar
248,No es fácil separar el rol de hijo del rol profesional,familiar
249,A veces soy tratado como colaborador y no como hijo,familiar
250,"El me dijo, no, tú tienes que estudiar contabilidad",familiar
251,Mi padre es una persona de carácter complicado,familiar
252,No es facil ponerse de acuerdo con la familia,familiar
253,No es facil ponerse de acuerdo entre la familia,familiar
254,Creo que fue malo que no me incluyeran en la empresa cuando era mas joven,trabajo
255,yo nunca he tenido otro trabajo que no sea con mi papá,trabajo
256,tengo que trabajar en otros sitios para seguir creciendo,trabajo
257,siempre he confiado en mi papá y mi mamá mucho,familiar
258,siempre hice caso a lo que mi papá y mi mamá me decían,familiar
259,si quieres estudiar tienes que trabajar,trabajo
260,No entiendo que el dinero tiene un peso,personal
261,Nose como puedo aportar a la empresas ya,trabajo
262,No creo dar la talla,personal
263,Tengo muchas diferencias con mi hermano,familiar
264,Tengo muchas diferencias con mi hermana,familiar
265,No me puedo poner de acuerdo con mi hermano,familiar
266,No me puedo poner de acuerdo con mi hermana,familiar
267,Siento miedo de no dar la talla profesionalmente,trabajo
268,Me duele cuando fallamos como equipo,trabajo
269,Intento no asumir la responsabilidad cuando algo no sale bien,trabajo
270,Me involucro emocionalmente con los resultados del trabajo,trabajo
271,No participo en la toma de desiciones dificiles,trabajo
272,Me cuesta participar en la toma de desiciones,personal
273,mis decisiones afectan a muchas personas.,personal
274,Cargué desde joven con un peso grande de responsabilidad,personal
275,Siento el trabajo como parte de mi identidad.,personal
276,Me afecta emocionalmente cuando algo falla,personal
277,No puedo desconectarme emocionalmente del trabajo,personal
278,He sentido ansiedad por el futuro,personal
279,Me preocupan las consecuencias de las decisiones que tomo,personal
280,La pandemia me cambió la forma de ver mi responsabilidad,personal
281,Me duele fallarle a un colaborador,trabajo
282,Me dduele fallarle a un amigo,personal
283,Me duele fallarle a un socio,trabajo
284,Me identifico profundamente con la empresa,personal
285,Converso con mi familia sobre decisiones importantes,familiar
286,Aprendí de mi padre el peso de la responsabilidad,familiar
287,Aprendí que no todo se mide en dinero,personal
288,Me siento responsable de continuar el legado familiar,familiar
289,me preocupa el futuro de las proximas generaciones,familiar
290,Tomo decisiones laborales pensando en mi familia,trabajo
291,El trabajo y la familia están profundamente entrelazados,familiar
292,Me duele el trabajo porque es parte de mi vida,personal
293,Me enfrento a dilemas donde lo laboral y lo familiar se cruzan,familiar
294,No trabajo solo por cumplir un horario,personal
295,Transmito pasión por el proyecto,personal
296,No concibo liderazgo sin responsabilidad emocional,personal
297,No fue un buen mes en general,personal
298,No me considero un buen trabajador,trabajo
299,No controlo bien la ansiedad,personal
300,Quiero creecer en esta empresa,trabajo
301,No me involucro mucho en mi trabajo,trabajo
302,El trabajo me afecta emocionalmente,personal
303,Me involucro más allá de lo profesional,personal
304,Siento angustia cuando no tengo control sobre una situación,personal
305,Pienso constantemente en el impacto de mis decisiones.,personal
306,No asumo el peso emocional del liderazgo,personal
307,Me cuesta aceptar el peso emocional del liderazgo,personal
308,Me afecta fallarle a otros.,personal
309,Aprendí de mi familia que el negocio no es solo dinero.,familiar
310,Me preocupa mucho el legado familiar,familiar
311,Me siento obligado a proteger el legado familiar,familiar
312,Protejo el legado familiar,familiar
313,Aprendi de mi familia a no tomar decisiones impulsivas,familiar
314,Defiendo el proyecto familiar frente a intereses externos,familiar
315,Estoy iniciando un proyecto nuevo,personal
316,Me da miedo el cambio,personal
317,Me da incertidumbre el cambio,personal
318,Tengo muchos defectos,personal
319,No tengo habilidades de comunicación,personal
320,Me siento muy presionado por las fechas de entrega del proyecto,trabajo
321,Mi trabajo ocupa la mayor parte de mi día,trabajo
322,Veo el trabajo como parte de mi identidad personal,trabajo
323,Me cuesta delegar cuando no entiendo completamente una situación,trabajo
324,No soy una persona que solo cumple horario; me involucro emocionalmente,trabajo
325,Me exijo mucho profesionalmente,trabajo
326,Me cuesta organizar mis prioridades,personal
327,Me duele cuando fallo,personal
328,A veces siento que el trabajo absorbe demasiado de mí.,trabajo
329,Reconozco que necesito manejar mejor la presión.,personal
330,Me falta mejorar la presion que siento,personal
331,Me pongo ansioso cuando algo no sale como espero,personal
332,Reconozco que soy terco,personal
333,Me cuesta soltar ideas cuando creo firmemente en ellas,personal
334,Me cuesta aprender de mis errores personales,personal
335,Me exijo mucho a mí mismo,personal
336,soy perfeccionista,personal
337,soy muy perfeccionista,personal
338,aun ocupo hacer varias cosas y no acabo con esto pq me distraigo mucho,personal
339,Mi papá es una figura muy fuerte en mi vida profesional y personal.,familiar
340,Mi papá tiene un estilo de trabajo muy exigente,familiar
341,A veces siento que su presión es difícil de manejar,personal
342,No siempre estoy de acuerdo con sus métodos.,familiar
343,Hemos tenido reuniones familiares muy tensas.,familiar
344,En algunas ocasiones he perdido el control emocional,personal
345,Mi mamá actúa como mediadora entre nosotros,familiar
346,Hablo con mi mamá para desahogarme,familiar
347,Mi mamá equilibra las tensiones familiares,familiar
348,Mi papá equilibra las tensiones familiares,familiar
349,Hablo con mi papá para desahogarme,familiar
350,Me duele ver a mi hermana afectada por la presión laboral,familiar
351,Me duele ver a mi hermano afectada por la presión laboral,familiar
352,Siento responsabilidad de protegerla,amorosa
353,Siento responsabilidad de protegerlo,amorosa
354,Siento la responsabilidad de proteger a mi hermano,familiar
355,Siento la responsabilidad de proteger a mi hermana,familiar
356,Hemos tenido conversaciones familiares difíciles sobre el futuro,familiar
357,Hemos tenido conversaciones familiares difíciles,familiar
358,Mi vida amorosa no forma parte central de mi narrativa actual,amorosa
359,Mi familia son una fuente de tension,familiar
360,Se me dificulta no mezclar mi vida personal con la laboral,personal
361,Se me dificulta no mezclar mi vida laboral con la personal,trabajo
362,Aun tengo mucho que mejorar,personal
363,siento que no avanzo en el trabajo,trabajo
364,Mi papá es un tipo exigente,familiar
365,Mi papá tiene el carácter muy fuerte,familiar
366,mi papá tiene una forma de trabajar muy antigua,familiar
367,No se como procesar una mala noticia,personal
368,No se como puedo abordar una mala noticia,personal
369,no se como dar una mala noticia,personal
370,Me dan ganas de gritarles aveces,personal
371,No mantengo la calma con mi familia,familiar
372,No siento que me agrada mi familia,familiar
373,No me llevo bien con mi familia,familiar
374,Mi familia no me hace caso con lo que le digo,familiar
375,En mi trabajo no toman en cuenta mi opinion,trabajo
376,No aguanto la presión de trabajar con papi,trabajo
377,No aguanto la presión de trabajar con papi,trabajo
378,A veces defiendo a personas dentro de la empresa incluso contra las reglas,trabajo
379,No siento que sea un buen lider,personal
380,No me creo un buen lider,personal
381,No se liderar,personal
382,He sentido frustración cuando una decisión mía termina saliendo mal.,trabajo
383,siento mucha frustacuib cuando una decision mia termina mal,personal
384,Me duele cuando alguien a quien defendí se va sin avisar,trabajo
385,Choco frecuentemente con mi papá por la forma de liderar,familiar
386,He tenido discusiones fuertes por diferencias generacionales,trabajo
387,Me cuesta aceptar decisiones rígidas basadas solo en reglas,trabajo
388,Creo que el verdadero crecimiento profesional requiere sacrificio,trabajo
389,siento que me sacrifico mucho por mi trabajo,trabajo
390,siento que me sacrifico mucho por mis amigos,personal
391,siento que pongo mucho empeño con mi familia y no lo notan,familiar
392,No trabajo bien en equipo,trabajo
393,No me gusta trabajar en equipo,personal
394,Me afecta emocionalmente tomar decisiones difíciles,personal
395,Me frustro cuando mis intenciones no salen como esperaba.,personal
396,Reconozco que a veces me ciego por defender una idea.,personal
397,Me cuesta aceptar cuando alguien me demuestra que estaba equivocado,personal
398,No me gusta equivocarme,personal
399,Odio equivocarme,personal
400,No acepto que me equivoque,personal
401,Me afecta cargar con errores frente a otros,personal
402,Me exijo mucho a nivel personal,personal
403,Reflexiono constantemente sobre mis decisiones,personal
404,No creo que siempre tome las mejores decisiones,personal
405,Me incomoda sentir que fallé aunque haya actuado con buena intención,personal
406,Siento presión por demostrar criterio y liderazgo,personal
407,Me tomo el liderazgo de forma muy emocional,personal
408,Trabajo directamente con mi papá,familiar
409,Me cuesta separar la relación padre-hijo de la laboral,familiar
410,En casa sigo viendo a la misma persona con la que discuto en la oficina,familiar
411,Mi hermana y yo enfrentamos estas tensiones juntos,familiar
412,Mi hermano y yo enfrentamos estas tensiones juntos,familiar
413,En mi familia el trabajo siempre estuvo presente,familiar
414,Mis padres no siempre pudieron estar en eventos familiares porque trabajaban,familiar
415,Veo a mi familia como la base de mis valores laborales,familiar
416,Mi vida amorosa convive con una alta carga laboral,amorosa
417,Mi hermana tiene un temperamento muy fuerte,familiar
418,Mi hermano tiene un temperamento muy fuerte,familiar
419,Mi familia me apoya mucho,familiar
420,Defendia a alguien que me abandono,personal
421,No mido mis tiempos,personal
422,Ocupo trabajar en organizar mis tiempos,personal
423,Mi padres no estuvieron en mi niñes,familiar
424,Mis padres crecieron con una mentalidad tradicional y con poco acceso a información.,familiar
425,Mi mamá siempre ha sido una figura clave de apoyo en mis decisiones e intereses.,familiar
426,Sentí respaldo familiar cuando exploré distintos hobbies artísticos,familiar
427,Mis padres fueron adaptándose con el tiempo a temas que antes no comprendían,familiar
428,Crecí en un entorno donde el apoyo existía más por acciones que por palabras,familiar
429,Me considero una persona profundamente romántica.,amorosa
430,Vivo mis emociones con mucha intensidad,personal
431,Siento una fuerte necesidad de sentirme querido y aceptado,amorosa
432,La validación emocional influye mucho en la forma en que me relaciono con los demás,personal
433,Mi sensibilidad emocional ha impactado mis vínculos afectivos,amorosa
434,He construido mi identidad afectiva desde la honestidad y la expresión emocional,amorosa
435,Mi forma de amar está muy ligada a la forma en que me expreso como persona,amorosa
436,Siempre he querido ser el centro de atención,personal
437,Desde pequeño sentí una fuerte necesidad de pertenecer,personal
438,He fingido desinterés por cosas que me gustan para encajar socialmente,personal
439,Siento que la validación externa ha marcado muchas de mis decisiones,personal
440,Me identifico como una persona expresiva y emocional,personal
441,Reconozco que busco aprobación de las personas que me rodean,personal
442,He vivido situaciones de vergüenza que influyeron en mi autoestima,personal
443,Tengo una personalidad creativa que busca constantemente reconocimiento,personal
444,El miedo al rechazo ha estado presente en distintas etapas de mi vida,personal
445,Acepto que el TDAH influyó en mi manera de interesarme por muchas cosas diferentes,personal
446,Tengo TDAH,personal
447,He explorado múltiples caminos artísticos sin seguir una línea tradicional,trabajo
448,He tenido que adaptarme a nuevas plataformas para seguir creciendo profesionalmente,trabajo
449,Actualmente estoy invirtiendo mucho esfuerzo en mi proyecto de YouTube,trabajo
450,estoy invirtiendo mucho esfuerzo en mi proyecto ,trabajo
451,Mi desarrollo profesional ha estado ligado a la búsqueda de validación,trabajo
452,He enfrentado situaciones laborales donde no hubo reconocimiento económico,trabajo
453,No me pagaron en mi trabajo,trabajo
454,"a mí me, me encanta el escenario",trabajo
455,de chiquito era bien amargoso,personal
456, me doy cuenta que siempre me ha gustado la validación externa,personal
457,yo quería ser payaso,personal
458,Mis padres me apoyaron cuando quise participar en actividades artísticas desde niño.,familiar
459,Mi papá estuvo presente y atento cuando me subí por primera vez a un escenario,familiar
460,Mi familia me acompañó y me facilitó participar en castings,familiar
461,Mi familia me acompañó y me facilitó participar en eventos ,familiar
462,Mis padres confiaron en mí y me dejaron intentar cosas aunque no fuera bueno en ellas,familiar
463,No me daba cuenta de ciertos privilegios familiares hasta que crecí,familiar
464,Mi forma de ilusionarme está muy ligada a la fantasía y a la idea de cumplir sueños,amorosa
465,Vivo mis emociones con intensidad,amorosa
466,Me emociono fácilmente ante nuevas oportunidades.,personal
467,Me expreso con entusiasmo cuando algo me ilusiona,personal
468,He sentido frustración cuando no alcanzo lo que esperaba de mí mismo,personal
469,Desde pequeño disfruté aprender canciones y presentarme frente a otros,personal
470,Me sentí libre de expresarme cuando estuve en ambientes donde nadie me conocía,personal
471,Me adapto con facilidad a escenarios nuevos y desconocidos,personal
472,Desde la infancia he buscado oportunidades para subirme a un escenario,trabajo
473,He experimentado la frustración de no ser elegido después de prepararme,trabajo
474,Mi interés por el espectáculo comenzó desde muy joven,trabajo
475,He participado en eventos donde no hubo remuneración económica,trabajo
476,Mis primeras experiencias laborales estuvieron ligadas al entretenimiento,trabajo
477,Descubrí que funciono mejor en ambientes nuevos que en espacios donde me juzgan,trabajo
478,He sentido mayor libertad creativa cuando no cargo expectativas externas.,trabajo
479,Crecí en una familia donde había apoyo,familiar
480,Creci en una familia donde habia mucha desinformacion sobre la diversidad sexual.,familiar
481,Mis padres tardaron muchos años en entender y aceptar mi orientación sexual,familiar
482,Mis padres no aceptaron nunca mi orientacion sexual,familiar
483,Sentí miedo al decirle a mis padres que era gay.,familiar
484,Viví conflictos familiares fuertes,familiar
485,Mis padres intentaron explicaciones desde su propia ignorancia,familiar
486,Mis padres aceptaron con el tiempo quien soy,familiar
487,Mi padre no acepta mi orientacion sexual,familiar
488,Mi madre no acepta mi orientacion sexual,familiar
489,Durante la adolescencia sentí presión por tener novia para encajar socialmente.,amorosa
490,Tuve relaciones heterosexuales sin entender completamente lo que me pasaba emocionalmente.,amorosa
491,Soy gay,amorosa
492,Me involucré en relaciones donde no sentía atracción real,amorosa
493,Me sentí confundido y abrumado ante la intimidad física,amorosa
494,Corté relaciones porque algo no se sentía correcto,amorosa
495,No comprendia mi orientacion sexual,amorosa
496,Mi primer novio llegó ya en la etapa adulta,amorosa
497,Mi relación actual es la más importante y estable de mi vida,amorosa
498,No siento estabilidad en mi relacion,amorosa
499,No hay confianza en mi relacion,amorosa
500,No se como terminar mi relacion,amorosa
501,No se como terminar esta relacion,amorosa
502,Desde niño he sido muy expresivo y creativo.,personal
503,Me considero una persona expresiva y creativa,personal
504,Me sentía seguro creando cosas por mi cuenta.,personal
505,Fui construyendo mi identidad poco a poco,personal
506,Negué aspectos de mí por miedo a no ser aceptado,personal
507,No me aceptaba por quien soy ahora,personal
508,"Sentí miedo, ansiedad y dudas al descubrir mi orientación sexual",personal
509,Reconocerme fue un proceso emocionalmente intenso,personal
510,Desde joven busqué destacar a través de la música y la creación artística,trabajo
511,Tuve reconocimiento social por proyectos creativos que hice en la adolescencia,trabajo
512,Siempre he sido proactivo en impulsar mis propios proyectos,trabajo
513,fui un niño privilegiado,personal
514,fui una persona privilegiada,personal
515,fui una niña privilegiada,personal
516,mi hijo es bien talentoso,familiar
517,"Mi padre decia, mi hijo es bien talentoso",familiar
518,Me hacian bullying ,personal
519,"Me hacian bullying, en la primaria",personal
520,"Me hacian bullying, en la secundaria",personal
521,Era una persona rebelde,personal
522,siempre pienso que necesito una novia,amorosa
523,siempre pienso que necesito una novio,amorosa
524,Me costo aceptar que era gay,amorosa
525,Me costo aceptar que era lesbiana,amorosa
526,Me costo aceptar mi orientacion sexual,personal
527,Mis padres no sabian como tratarme cuando les dije de mi orientacion,familiar
528,Mi padre se tardo en entender que era gay,familiar
529,Mi madres tardo en entender que era gay,familiar
530,Mis padres se tardaron mucho en entender que era gay,familiar
531,salgo con mi padre seguido,familiar
532,salgo con mi madre seguido,familiar
533,mis padres ya conocieron a mi pareja,familiar
534,Me mude de casa,personal
535,"Mi mamá leía mis diarios sin que yo lo supiera, lo que me hizo sentir que mi intimidad no estaba completamente respetada",familiar
536,Desde niña mi mamá influía mucho en cómo me vestía,familiar
537,Desde niña mi mamá influía mucho en las decisiones básicas de mi día a día,familiar
538,Mi papá fue una figura muy presente y protectora durante mi infancia,familiar
539,Mi papá entendía mis dolores físicos,familiar
540,Mi papá siempre estuvo ahí para cuidarme cuando me sentía mal,familiar
541,Mi papá entendía mis dolores físicos y siempre estuvo ahí para cuidarme cuando me sentía mal,familiar
542,Mi papa dormía conmigo cuando lloraba por las noches para ayudarme a calmarme,familiar
543,"Mi papá hacía trabajo físico pesado, y con el tiempo aprendí a comprender su cansancio",familiar
544,"Mi familia influyó mucho en mis rutinas, mis horarios y mi forma de vivir la infancia",familiar
545,"Crecí con dinámicas familiares que combinaban cuidado, disciplina y presencia constante",familiar
546,Desde joven desarrollé afinidades emocionales intensas hacia personajes ficticios,amorosa
