id,texto,categoria
18,cohibida,I-PERSONAL
18,porque,I-PERSONAL
19,me,I-PERSONAL
19,cerre,I-PERSONAL
19,porque,B-PERSONAL
19,entonces,I-PERSONAL
19,ya,I-PERSONAL
19,mi,I-PERSONAL
19,mente,I-PERSONAL
19,no,I-PERSONAL
19,está,I-PERSONAL
19,fluyendo,I-PERSONAL
19,de,I-PERSONAL
19,la,I-PERSONAL
19,forma,I-PERSONAL
19,que,I-PERSONAL
19,se,I-PERSONAL
19,siente,I-PERSONAL
19,cómoda,I-PERSONAL
19,haciéndola,I-PERSONAL
20,Soy,I-PERSONAL
20,muy,I-PERSONAL
20,perfeccionista,B-PERSONAL
21,tengo,I-PERSONAL
21,una,I-PERSONAL
21,oportunidad,B-PERSONAL
21,de,I-PERSONAL
21,mejora,I-PERSONAL
21,la,I-PERSONAL
21,comunicación,I-PERSONAL
22,Me,I-PERSONAL
22,es,I-PERSONAL
22,dificil,B-PERSONAL
22,comunicar,I-PERSONAL
22,lo,I-PERSONAL
22,que,I-PERSONAL
22,quiero,I-PERSONAL
23,Pero,I-PERSONAL
23,no,I-PERSONAL
23,me,B-PERSONAL
23,atrevo,I-PERSONAL
23,a,I-PERSONAL
23,decirlo,I-PERSONAL
24,No,I-PERSONAL
24,me,I-PERSONAL
24,conozco,B-PERSONAL
25,siento,I-PERSONAL
25,que,I-PERSONAL
25,no,B-PERSONAL
25,me,I-PERSONAL
25,conozco,I-PERSONAL
26,Hablar,I-PERSONAL
26,de,I-PERSONAL
26,dinero,B-TRABAJO
26,es,I-TRABAJO
26,un,I-TRABAJO
26,tabu,I-TRABAJO
27,Hablar,I-TRABAJO
27,de,I-TRABAJO
27,dinero,B-TRABAJO
27,me,I-TRABAJO
27,incomoda,I-TRABAJO
28,Hablar,I-TRABAJO
28,de,I-TRABAJO
28,dinero,B-FAMILIAR
28,es,I-FAMILIAR
28,un,I-FAMILIAR
28,tabu,I-FAMILIAR
28,en,I-FAMILIAR
28,mi,I-FAMILIAR
28,familia,I-FAMILIAR
29,Tengo,I-FAMILIAR
29,una,I-FAMILIAR
29,entrevista,B-TRABAJO
30,Tengo,I-TRABAJO
30,una,I-TRABAJO
30,entrevista,B-TRABAJO
30,de,I-TRABAJO
30,programador,I-TRABAJO
31,Tengo,I-TRABAJO
31,una,I-TRABAJO
31,entrevista,B-TRABAJO
31,de,I-TRABAJO
31,contador,I-TRABAJO
32,Tengo,I-TRABAJO
32,una,I-TRABAJO
32,entrevista,B-TRABAJO
32,de,I-TRABAJO
32,psicologo,I-TRABAJO
33,Tengo,I-TRABAJO
33,una,I-TRABAJO
33,entrevista,B-TRABAJO
33,en,I-TRABAJO
33,un,I-TRABAJO
33,restaurante,I-TRABAJO
34,Tengo,I-TRABAJO
34,una,I-TRABAJO
34,entrevista,B-TRABAJO
34,en,I-TRABAJO
34,algo,I-TRABAJO
34,administrativo,I-TRABAJO
35,mis,I-TRABAJO
35,hijos,I-TRABAJO
35,que,B-FAMILIAR
35,están,I-FAMILIAR
35,en,I-FAMILIAR
35,una,I-FAMILIAR
35,etapa,I-FAMILIAR
35,de,I-FAMILIAR
35,crecimiento,I-FAMILIAR
36,mi,I-FAMILIAR
36,mamá,I-FAMILIAR
36,que,B-FAMILIAR
36,está,I-FAMILIAR
36,enferma,I-FAMILIAR
37,un,I-FAMILIAR
37,familiar,I-FAMILIAR
37,esta,B-FAMILIAR
37,enformo,I-FAMILIAR
38,yo,I-FAMILIAR
38,necesitaría,I-FAMILIAR
38,como,B-TRABAJO
38,que,I-TRABAJO
38,los,I-TRABAJO
38,talentos,I-TRABAJO
38,hagan,I-TRABAJO
38,esa,I-TRABAJO
38,reflexión,I-TRABAJO
38,de,I-TRABAJO
38,que,I-TRABAJO
38,no,I-TRABAJO
38,se,I-TRABAJO
38,comparen,I-TRABAJO
39,no,I-TRABAJO
39,sabemos,I-TRABAJO
39,si,B-TRABAJO
39,ese,I-TRABAJO
39,persona,I-TRABAJO
39,tenía,I-TRABAJO
39,ya,I-TRABAJO
39,planes,I-TRABAJO
39,de,I-TRABAJO
39,irse,I-TRABAJO
39,a,I-TRABAJO
39,una,I-TRABAJO
39,"empresa,",I-TRABAJO
39,a,I-TRABAJO
39,nuestra,I-TRABAJO
39,competencia,I-TRABAJO
40,Me,I-TRABAJO
40,negaron,I-TRABAJO
40,el,B-TRABAJO
40,aumento,I-TRABAJO
41,Me,I-TRABAJO
41,concedieron,I-TRABAJO
41,el,B-TRABAJO
41,aumento,I-TRABAJO
42,No,I-TRABAJO
42,me,I-TRABAJO
42,dieron,B-TRABAJO
42,el,I-TRABAJO
42,aumento,I-TRABAJO
43,Me,I-TRABAJO
43,dieron,I-TRABAJO
43,el,B-TRABAJO
43,aumento,I-TRABAJO
44,tengo,I-TRABAJO
44,un,I-TRABAJO
44,jefe,B-TRABAJO
44,que,I-TRABAJO
44,no,I-TRABAJO
44,me,I-TRABAJO
44,deja,I-TRABAJO
44,ni,I-TRABAJO
44,dormir,I-TRABAJO
45,tengo,I-TRABAJO
45,mucha,I-TRABAJO
45,carga,B-TRABAJO
45,laboral,I-TRABAJO
46,No,I-TRABAJO
46,me,I-TRABAJO
46,llevo,B-FAMILIAR
46,bien,I-FAMILIAR
46,con,I-FAMILIAR
46,mi,I-FAMILIAR
46,familia,I-FAMILIAR
47,el,I-FAMILIAR
47,ambiente,I-FAMILIAR
47,de,B-TRABAJO
47,trabajo,I-TRABAJO
47,no,I-TRABAJO
47,me,I-TRABAJO
47,gusta,I-TRABAJO
48,el,I-TRABAJO
48,ambiente,I-TRABAJO
48,de,B-TRABAJO
48,trabajo,I-TRABAJO
48,no,I-TRABAJO
48,es,I-TRABAJO
48,muy,I-TRABAJO
48,bueno,I-TRABAJO
49,no,I-TRABAJO
49,me,I-TRABAJO
49,gusta,B-TRABAJO
49,mi,I-TRABAJO
49,ambiente,I-TRABAJO
49,de,I-TRABAJO
49,trabajo,I-TRABAJO
50,Le,I-TRABAJO
50,tengo,I-TRABAJO
50,que,B-PERSONAL
50,dedicar,I-PERSONAL
50,tiempo,I-PERSONAL
50,a,I-PERSONAL
51,le,I-PERSONAL
51,tengo,I-PERSONAL
51,que,B-PERSONAL
51,dedicar,I-PERSONAL
51,esfuerzo,I-PERSONAL
51,a,I-PERSONAL
52,le,I-PERSONAL
52,tengo,I-PERSONAL
52,que,B-TRABAJO
52,dedicar,I-TRABAJO
52,mucho,I-TRABAJO
52,tiempo,I-TRABAJO
52,a,I-TRABAJO
52,estudiar,I-TRABAJO
53,le,I-TRABAJO
53,tengo,I-TRABAJO
53,que,B-PERSONAL
53,dedicar,I-PERSONAL
53,mucho,I-PERSONAL
53,esfuerzo,I-PERSONAL
53,a,I-PERSONAL
53,mis,I-PERSONAL
53,amigos,I-PERSONAL
54,Tenemos,I-PERSONAL
54,problemas,I-PERSONAL
54,con,B-TRABAJO
54,el,I-TRABAJO
54,presupuesto,I-TRABAJO
55,Tengo,I-TRABAJO
55,que,I-TRABAJO
55,saber,B-PERSONAL
55,qué,I-PERSONAL
55,quiero,I-PERSONAL
56,No,I-PERSONAL
56,se,I-PERSONAL
56,qué,I-PERSONAL
56,quiero,B-TRABAJO
56,en,I-TRABAJO
56,mi,I-TRABAJO
56,vida,I-TRABAJO
56,profesional,I-TRABAJO
57,No,I-TRABAJO
57,se,I-TRABAJO
57,qué,I-TRABAJO
57,quiero,I-TRABAJO
57,en,B-TRABAJO
57,mi,I-TRABAJO
57,vida,I-TRABAJO
57,laboral,I-TRABAJO
58,pienso,I-TRABAJO
58,que,I-TRABAJO
58,nadie,I-TRABAJO
58,me,I-TRABAJO
58,va,I-TRABAJO
58,a,B-TRABAJO
58,contratar,I-TRABAJO
58,a,I-TRABAJO
58,mí,I-TRABAJO
58,porque,I-TRABAJO
58,yo,I-TRABAJO
58,tengo,I-TRABAJO
58,todo,I-TRABAJO
58,este,I-TRABAJO
58,tiempo,I-TRABAJO
58,aquí,I-TRABAJO
58,en,I-TRABAJO
58,la,I-TRABAJO
58,misma,I-TRABAJO
58,posición,I-TRABAJO
59,La,I-TRABAJO
59,gente,I-TRABAJO
59,se,I-TRABAJO
59,casa,I-TRABAJO
59,o,I-TRABAJO
59,no,B-AMOROSA
59,dependiendo,I-AMOROSA
59,si,I-AMOROSA
59,tiene,I-AMOROSA
59,un,I-AMOROSA
59,trabajo,I-AMOROSA
59,estable.,I-AMOROSA
60,Las,I-AMOROSA
60,decisiones,I-AMOROSA
60,personales,I-AMOROSA
60,importantes,I-AMOROSA
60,dependen,I-AMOROSA
60,de,B-PERSONAL
60,la,I-PERSONAL
60,calidad,I-PERSONAL
60,de,I-PERSONAL
60,vida,I-PERSONAL
60,laboral,I-PERSONAL
61,La,I-PERSONAL
61,gente,I-PERSONAL
61,se,I-PERSONAL
61,casa,I-PERSONAL
61,o,I-PERSONAL
61,no,B-FAMILIAR
61,dependiendo,I-FAMILIAR
61,de,I-FAMILIAR
61,su,I-FAMILIAR
61,estabilidad,I-FAMILIAR
61,laboral.,I-FAMILIAR
62,Nos,I-FAMILIAR
62,rechazamos,I-FAMILIAR
62,desde,I-FAMILIAR
62,antes,I-FAMILIAR
62,de,I-FAMILIAR
62,empezar.,B-PERSONAL
63,El,I-PERSONAL
63,miedo,I-PERSONAL
63,al,I-PERSONAL
63,rechazo,I-PERSONAL
63,hace,I-PERSONAL
63,que,B-PERSONAL
63,el,I-PERSONAL
63,talento,I-PERSONAL
63,no,I-PERSONAL
63,se,I-PERSONAL
63,muestre.,I-PERSONAL
64,Tengo,I-PERSONAL
64,miedo,I-PERSONAL
64,al,I-PERSONAL
64,rechazo,I-PERSONAL
65,me,I-PERSONAL
65,da,B-PERSONAL
65,miedo,I-PERSONAL
65,el,I-PERSONAL
65,rechazo,B-PERSONAL
66,Cuando,I-PERSONAL
66,tú,I-PERSONAL
66,amas,I-PERSONAL
66,lo,I-PERSONAL
66,que,B-TRABAJO
66,"haces,",I-TRABAJO
66,se,I-TRABAJO
66,vuelve,I-TRABAJO
66,un,I-TRABAJO
66,estilo,I-TRABAJO
66,de,I-TRABAJO
66,vida.,I-TRABAJO
67,Ser,I-TRABAJO
67,profesional,I-TRABAJO
67,es,I-TRABAJO
67,parte,I-TRABAJO
67,de,B-TRABAJO
67,mi,I-TRABAJO
67,marca,I-TRABAJO
67,personal,I-TRABAJO
68,Hablar,I-TRABAJO
68,de,I-TRABAJO
68,dinero,I-TRABAJO
68,toca,I-TRABAJO
68,lo,B-PERSONAL
68,emocional,I-PERSONAL
69,Mi,I-PERSONAL
69,familia,I-PERSONAL
69,se,I-PERSONAL
69,ve,I-PERSONAL
69,perjudicada,B-FAMILIAR
69,por,I-FAMILIAR
69,cómo,I-FAMILIAR
69,me,I-FAMILIAR
69,siento,I-FAMILIAR
69,emocionalmente.,I-FAMILIAR
70,La,I-FAMILIAR
70,calidad,I-FAMILIAR
70,de,I-FAMILIAR
70,vida,I-FAMILIAR
70,permite,B-FAMILIAR
70,cuidar,I-FAMILIAR
70,de,I-FAMILIAR
70,la,I-FAMILIAR
70,familia,I-FAMILIAR
71,El,I-FAMILIAR
71,trabajo,I-FAMILIAR
71,impacta,I-FAMILIAR
71,directamente,I-FAMILIAR
71,a,B-FAMILIAR
71,la,I-FAMILIAR
71,familia.,I-FAMILIAR
72,Hay,I-FAMILIAR
72,decisiones,I-FAMILIAR
72,familiares,I-FAMILIAR
72,ligadas,I-FAMILIAR
72,al,B-FAMILIAR
72,empleo,I-FAMILIAR
73,La,I-FAMILIAR
73,empresa,I-FAMILIAR
73,quiere,I-FAMILIAR
73,un,I-FAMILIAR
73,talento,B-TRABAJO
73,sostenible.,I-TRABAJO
74,Estoy,I-TRABAJO
74,sacrificando,I-TRABAJO
74,mucho,I-TRABAJO
75,Me,I-TRABAJO
75,estoy,B-PERSONAL
75,comparando,I-PERSONAL
75,mucho,I-PERSONAL
75,con,B-TRABAJO
75,mi,I-TRABAJO
75,compañero,I-TRABAJO
76,Para,I-TRABAJO
76,elegir,I-TRABAJO
76,un,I-TRABAJO
76,trabajo,I-TRABAJO
76,requieriero,B-TRABAJO
76,planificación,I-TRABAJO
77,Mi,I-TRABAJO
77,ambiente,I-TRABAJO
77,laboral,I-TRABAJO
77,es,I-TRABAJO
77,toxico,B-TRABAJO
78,Me,I-TRABAJO
78,da,I-TRABAJO
78,miedo,I-TRABAJO
78,intentar,I-TRABAJO
78,algo,B-PERSONAL
78,nuevo,I-PERSONAL
79,No,I-PERSONAL
79,tengo,I-PERSONAL
79,autocontrol,I-PERSONAL
80,No,I-PERSONAL
80,creo,B-PERSONAL
80,que,I-PERSONAL
80,tome,I-PERSONAL
80,las,B-PERSONAL
80,mejores,I-PERSONAL
80,decisiones,I-PERSONAL
81,Hablar,I-PERSONAL
81,de,I-PERSONAL
81,dinero,I-PERSONAL
81,toca,I-PERSONAL
81,emociones,I-PERSONAL
81,profundas,B-PERSONAL
82,El,I-PERSONAL
82,estrés,I-PERSONAL
82,laboral,I-PERSONAL
82,se,I-PERSONAL
82,traslada,I-PERSONAL
82,al,B-FAMILIAR
82,hogar.,I-FAMILIAR
83,Cuidar,I-FAMILIAR
83,a,I-FAMILIAR
83,un,I-FAMILIAR
83,familiar,I-FAMILIAR
83,requiere,I-FAMILIAR
83,tiempo,B-FAMILIAR
84,Cuidar,I-FAMILIAR
84,de,I-FAMILIAR
84,mi,I-FAMILIAR
84,familia,I-FAMILIAR
84,requiere,I-FAMILIAR
84,mucho,B-FAMILIAR
84,tiempo,I-FAMILIAR
85,No,I-FAMILIAR
85,les,I-FAMILIAR
85,presto,I-FAMILIAR
85,mucha,I-FAMILIAR
85,atencion,I-FAMILIAR
85,a,B-FAMILIAR
85,mis,I-FAMILIAR
85,hijos,I-FAMILIAR
86,siento,I-FAMILIAR
86,que,I-FAMILIAR
86,no,I-FAMILIAR
86,me,I-FAMILIAR
86,conozco,I-FAMILIAR
86,a,B-FAMILIAR
86,mis,I-FAMILIAR
86,hijos,I-FAMILIAR
87,Me,I-FAMILIAR
87,divorcie,I-FAMILIAR
88,Rompi,I-FAMILIAR
88,con,I-FAMILIAR
88,mi,I-FAMILIAR
88,novio,B-AMOROSA
89,Rompi,I-AMOROSA
89,con,B-AMOROSA
89,mi,I-AMOROSA
89,novia,I-AMOROSA
90,La,I-AMOROSA
90,vida,B-AMOROSA
90,laboral,I-AMOROSA
90,tiene,I-AMOROSA
90,un,I-AMOROSA
90,impacto,B-TRABAJO
90,muy,I-TRABAJO
90,grande,I-TRABAJO
90,en,I-TRABAJO
90,mi,I-TRABAJO
90,vida,I-TRABAJO
90,personal.,I-TRABAJO
91,El,I-TRABAJO
91,dinero,I-TRABAJO
91,lo,I-TRABAJO
91,es,I-TRABAJO
91,todo.,I-TRABAJO
92,No,B-PERSONAL
92,me,I-PERSONAL
92,reconocen,I-PERSONAL
92,en,I-PERSONAL
92,la,I-PERSONAL
92,empresa,B-TRABAJO
93,quiero,I-TRABAJO
93,una,I-TRABAJO
93,vida,I-TRABAJO
93,laboral,I-TRABAJO
93,sostenible,I-TRABAJO
94,trato,B-TRABAJO
94,y,I-TRABAJO
94,no,I-TRABAJO
94,logro,I-TRABAJO
94,nada,I-TRABAJO
95,Me,B-PERSONAL
95,siento,I-PERSONAL
95,resentido,I-PERSONAL
95,con,I-PERSONAL
95,mis,I-PERSONAL
95,compañeros,B-TRABAJO
95,de,I-TRABAJO
95,escuela,I-TRABAJO
96,No,I-TRABAJO
96,puedo,I-TRABAJO
96,conversar,I-TRABAJO
96,sobre,I-TRABAJO
96,el,I-TRABAJO
96,dinero,B-TRABAJO
97,Eso,I-TRABAJO
97,tiene,I-TRABAJO
97,un,I-TRABAJO
97,impacto,I-TRABAJO
97,importante,I-TRABAJO
97,en,B-FAMILIAR
97,el,I-FAMILIAR
97,presupuesto,I-FAMILIAR
97,familiar,I-FAMILIAR
98,Pedir,I-FAMILIAR
98,un,I-FAMILIAR
98,aumento,I-FAMILIAR
98,se,I-FAMILIAR
98,percibe,I-FAMILIAR
98,como,B-TRABAJO
98,una,I-TRABAJO
98,traición,I-TRABAJO
98,al,I-TRABAJO
98,equipo,I-TRABAJO
99,Me,I-TRABAJO
99,da,I-TRABAJO
99,miedo,I-TRABAJO
99,que,I-TRABAJO
99,me,I-TRABAJO
99,rechazen,B-TRABAJO
99,en,I-TRABAJO
99,la,I-TRABAJO
99,entrevista.,I-TRABAJO
100,Mi,I-TRABAJO
100,familia,I-TRABAJO
100,se,I-TRABAJO
100,ve,I-TRABAJO
100,perjudicada,I-TRABAJO
100,emocionalmente,B-FAMILIAR
101,Ya,I-FAMILIAR
101,se,I-FAMILIAR
101,me,I-FAMILIAR
101,paso,I-FAMILIAR
101,el,I-FAMILIAR
101,tiempo,B-TRABAJO
101,de,I-TRABAJO
101,trabajar,I-TRABAJO
102,Ya,I-TRABAJO
102,no,I-TRABAJO
102,puedo,I-TRABAJO
102,encontrar,I-TRABAJO
102,trabajo,I-TRABAJO
103,No,B-TRABAJO
103,sienta,I-TRABAJO
103,que,I-TRABAJO
103,sirva,I-TRABAJO
103,para,I-TRABAJO
103,este,B-TRABAJO
103,trabajo,I-TRABAJO
104,No,I-TRABAJO
104,creo,I-TRABAJO
104,que,I-TRABAJO
104,pueda,I-TRABAJO
104,cumplir,I-TRABAJO
104,con,B-TRABAJO
104,esas,I-TRABAJO
104,cualidades,I-TRABAJO
105,No,I-TRABAJO
105,se,I-TRABAJO
105,cuales,I-TRABAJO
105,habilidades,I-TRABAJO
105,blandas,I-TRABAJO
105,tengo,B-PERSONAL
106,Me,I-PERSONAL
106,quede,I-PERSONAL
106,sin,I-PERSONAL
106,empleo,I-PERSONAL
107,Me,I-PERSONAL
107,quede,B-TRABAJO
107,sin,I-TRABAJO
107,trabajo,I-TRABAJO
108,me,I-TRABAJO
108,despidieron,B-TRABAJO
109,Nunca,I-TRABAJO
109,me,I-TRABAJO
109,enseñaron,I-TRABAJO
110,Cuando,B-TRABAJO
110,me,I-TRABAJO
110,quedo,B-TRABAJO
110,sin,I-TRABAJO
110,empleo,I-TRABAJO
110,y,I-TRABAJO
110,no,B-TRABAJO
110,se,I-TRABAJO
110,qué,I-TRABAJO
110,hacer,I-TRABAJO
111,Perder,I-TRABAJO
111,un,I-TRABAJO
111,empleo,I-TRABAJO
111,no,I-TRABAJO
111,es,I-TRABAJO
111,fácil,I-TRABAJO
112,siento,B-TRABAJO
112,que,I-TRABAJO
112,es,I-TRABAJO
112,el,I-TRABAJO
112,final,I-TRABAJO
112,de,I-TRABAJO
112,mi,B-TRABAJO
112,carrera,I-TRABAJO
112,profesional,I-TRABAJO
113,Mi,I-TRABAJO
113,mundo,I-TRABAJO
113,laboral,I-TRABAJO
113,se,I-TRABAJO
113,detuvo,I-TRABAJO
114,No,I-TRABAJO
114,creo,B-TRABAJO
114,tener,I-TRABAJO
114,objetivos,I-TRABAJO
114,en,I-TRABAJO
114,el,I-TRABAJO
114,ambito,B-TRABAJO
114,profesional,I-TRABAJO
115,No,I-TRABAJO
115,creo,I-TRABAJO
115,tener,I-TRABAJO
115,objetivos,I-TRABAJO
115,profesionales,I-TRABAJO
116,No,I-TRABAJO
116,se,B-TRABAJO
116,que,I-TRABAJO
116,quiero,I-TRABAJO
116,lograr,I-TRABAJO
116,en,I-TRABAJO
116,el,B-TRABAJO
116,trabajo,I-TRABAJO
117,Mi,I-TRABAJO
117,idea,I-TRABAJO
117,de,I-TRABAJO
117,proyecto,I-TRABAJO
117,no,I-TRABAJO
117,avanza,I-TRABAJO
118,Tenemos,B-TRABAJO
118,que,I-TRABAJO
118,sentarnos,I-TRABAJO
118,a,I-TRABAJO
118,ver,I-TRABAJO
118,cuáles,I-TRABAJO
118,son,B-PERSONAL
118,esas,I-PERSONAL
118,cosas,I-PERSONAL
118,que,I-PERSONAL
118,hemos,I-PERSONAL
118,logrado,I-PERSONAL
118,antes,I-PERSONAL
119,Nose,I-PERSONAL
119,que,I-PERSONAL
119,cosas,I-PERSONAL
119,quiero,I-PERSONAL
119,lograr,I-PERSONAL
120,no,I-PERSONAL
120,encuentro,B-PERSONAL
120,trabajo,I-PERSONAL
121,el,I-PERSONAL
121,tiempo,I-PERSONAL
121,que,I-PERSONAL
121,no,B-TRABAJO
121,tengo,I-TRABAJO
121,trabajo,I-TRABAJO
121,lo,B-TRABAJO
121,siento,I-TRABAJO
121,como,I-TRABAJO
121,una,I-TRABAJO
121,derrota,I-TRABAJO
122,logre,I-TRABAJO
122,llegar,I-TRABAJO
122,a,I-TRABAJO
122,una,I-TRABAJO
122,entrevista,I-TRABAJO
123,estoy,I-TRABAJO
123,invirtiendo,B-TRABAJO
123,tiempo,I-TRABAJO
123,en,I-TRABAJO
123,mi,I-TRABAJO
123,educacion,I-TRABAJO
124,Perder,B-TRABAJO
124,un,I-TRABAJO
124,empleo,I-TRABAJO
124,es,I-TRABAJO
124,un,I-TRABAJO
124,remolino,I-TRABAJO
124,de,B-PERSONAL
124,emociones,I-PERSONAL
125,No,I-PERSONAL
125,se,I-PERSONAL
125,que,I-PERSONAL
125,hacer,I-PERSONAL
126,no,I-PERSONAL
126,tengo,I-PERSONAL
126,una,B-PERSONAL
126,mentalidad,I-PERSONAL
126,tan,I-PERSONAL
126,abierta,I-PERSONAL
127,No,B-PERSONAL
127,equilibrio,I-PERSONAL
127,mis,I-PERSONAL
127,emociones,I-PERSONAL
128,No,I-PERSONAL
128,controlo,I-PERSONAL
128,bien,B-PERSONAL
128,mis,I-PERSONAL
128,emociones,I-PERSONAL
129,Buscar,I-PERSONAL
129,trabajo,B-PERSONAL
129,es,I-PERSONAL
129,un,I-PERSONAL
129,trabajo,I-PERSONAL
130,La,I-PERSONAL
130,incertidumbre,B-TRABAJO
130,bloquea,I-TRABAJO
130,si,I-TRABAJO
130,no,I-TRABAJO
130,hay,I-TRABAJO
130,un,B-PERSONAL
130,plan,I-PERSONAL
131,Cuando,I-PERSONAL
131,no,I-PERSONAL
131,me,I-PERSONAL
131,siento,I-PERSONAL
131,motivado,I-PERSONAL
131,en,I-PERSONAL
131,el,B-TRABAJO
131,"trabajo,",I-TRABAJO
131,mis,I-TRABAJO
131,oportunidades,I-TRABAJO
131,de,I-TRABAJO
131,crecimiento,I-TRABAJO
131,se,I-TRABAJO
131,reducen,I-TRABAJO
132,La,I-TRABAJO
132,desmotivación,I-TRABAJO
132,afecta,I-TRABAJO
132,mis,I-TRABAJO
132,oportunidades,I-TRABAJO
132,dentro,I-TRABAJO
132,y,B-TRABAJO
132,fuera,I-TRABAJO
132,de,I-TRABAJO
132,la,I-TRABAJO
132,empresa,I-TRABAJO
133,Muchas,I-TRABAJO
133,veces,I-TRABAJO
133,busco,I-TRABAJO
133,excusas,I-TRABAJO
133,externas,I-TRABAJO
133,cuando,I-TRABAJO
133,estoy,B-TRABAJO
133,desmotivado,I-TRABAJO
134,No,I-TRABAJO
134,comunicar,I-TRABAJO
134,lo,I-TRABAJO
134,que,I-TRABAJO
134,hago,I-TRABAJO
134,bien,I-TRABAJO
134,es,B-TRABAJO
134,un,I-TRABAJO
134,error,I-TRABAJO
134,grave,I-TRABAJO
134,de,I-TRABAJO
134,mi,I-TRABAJO
134,parte,I-TRABAJO
135,Nose,I-TRABAJO
135,reconocerme,I-TRABAJO
136,No,I-TRABAJO
136,me,I-TRABAJO
136,reconzco,I-TRABAJO
137,No,I-TRABAJO
137,siento,B-TRABAJO
137,que,I-TRABAJO
137,me,B-TRABAJO
137,reconozcan,I-TRABAJO
137,en,I-TRABAJO
137,el,I-TRABAJO
137,trabajo,B-TRABAJO
138,No,I-TRABAJO
138,progreso,I-TRABAJO
138,en,I-TRABAJO
138,el,I-TRABAJO
